vote,county,town,village,no,name,party,gender,birth,age,birth_place,education,is_current,is_win,is_no2,has_account
107年村(里)長選舉,新竹縣,竹北市,斗崙里,1,張琬媃,無黨籍及未經政黨推薦,女,'0801001,27,臺灣省,碩士,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,斗崙里,2,鄭智銘,中國國民黨,男,'0750111,32,臺灣省,大學,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,鹿場里,1,范光仁,無黨籍及未經政黨推薦,男,'0560612,51,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,鹿場里,2,邱加雄,中國國民黨,男,'0370801,70,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,東平里,1,林顥峰,無黨籍及未經政黨推薦,男,'0460501,61,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,中興里,1,莊淙澍,無黨籍及未經政黨推薦,男,'0730623,34,臺北市,博士,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,中興里,2,劉椿榮,無黨籍及未經政黨推薦,男,'0410424,66,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,隘口里,1,林洪文,無黨籍及未經政黨推薦,男,'0391110,68,臺灣省,高中(職)以下,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,隘口里,2,彭添保,無黨籍及未經政黨推薦,男,'0570419,50,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,隘口里,3,李昆哲,無黨籍及未經政黨推薦,男,'0681130,38,臺中市,高中,N," "," ",Y
107年村(里)長選舉,新竹縣,竹北市,東海里,1,簡秀蓮,中國國民黨,女,'0521225,54,新北市,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,竹北里,1,李麗惠,無黨籍及未經政黨推薦,女,'0560520,51,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,竹北里,2,陳文生,無黨籍及未經政黨推薦,男,'0481217,58,臺灣省,高中,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,竹仁里,1,劉堂隆,無黨籍及未經政黨推薦,男,'0510908,56,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,竹義里,1,彭世雄,無黨籍及未經政黨推薦,男,'0431109,64,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,竹義里,2,徐明兆,無黨籍及未經政黨推薦,男,'0500120,57,桃園市,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,泰和里,1,羅敏功,中國國民黨,男,'0470213,60,臺灣省,大學,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新社里,1,郭書楷,無黨籍及未經政黨推薦,男,'0650813,42,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,新社里,2,范植雄,中國國民黨,男,'0430824,64,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新社里,3,鄭高任,無黨籍及未經政黨推薦,男,'0720412,35,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,新社里,4,曾德龍,無黨籍及未經政黨推薦,男,'0570317,50,新北市,碩士,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,聯興里,1,林寶玉,無黨籍及未經政黨推薦,女,'0380601,69,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,聯興里,2,陳威男,無黨籍及未經政黨推薦,男,'0750205,32,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,麻園里,1,許榮生,無黨籍及未經政黨推薦,男,'0401201,66,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,溪州里,1,吳林斌,無黨籍及未經政黨推薦,男,'0450820,62,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,溪州里,2,楊明哲,無黨籍及未經政黨推薦,男,'0530921,54,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,白地里,1,陳麗瓊,無黨籍及未經政黨推薦,女,'0440826,63,臺灣省,高中(職)以下,N," "," ",N
107年村(里)長選舉,新竹縣,竹北市,白地里,2,陳相進,無黨籍及未經政黨推薦,男,'0450426,62,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,新港里,1,戴章興,無黨籍及未經政黨推薦,男,'0490205,58,臺灣省,高中,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,大義里,1,曾台安,無黨籍及未經政黨推薦,男,'0720706,35,臺灣省,大學,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,大義里,2,曾聰榮,無黨籍及未經政黨推薦,男,'0551023,52,臺灣省,高中,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,崇義里,1,林秋榮,無黨籍及未經政黨推薦,男,'0470220,60,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,大眉里,1,張文和,中國國民黨,男,'0300324,77,臺灣省,高中(職)以下,Y," "," ",N
107年村(里)長選舉,新竹縣,竹北市,大眉里,2,張清龍,無黨籍及未經政黨推薦,男,'0540826,53,臺灣省,高中,N,*," ",N
107年村(里)長選舉,新竹縣,竹北市,尚義里,1,曾福,無黨籍及未經政黨推薦,男,'0520825,55,臺灣省,高中(職)以下,Y,*," ",N
107年村(里)長選舉,新竹縣,竹北市,尚義里,2,童哲燦,無黨籍及未經政黨推薦,男,'0620127,45,臺灣省,高中,N," "," ",N
