縣市,序號,擬參選人,選舉名稱,申報序號,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入,收入小計,超過三萬元之收入總額,金錢收入總額,非金錢收入總額,人事費用支出,宣傳支出,租用宣傳車輛支出,租用競選辦事處支出,集會支出,交通旅運支出,雜支支出,返還捐贈支出,繳庫支出,公共關係費用支出,支出小計,超過三萬元之支出總額,金錢支出總額,非金錢支出總額,結算日專戶存款餘額,(加)購買金錢以外之財產,(減)變賣金錢以外之財產,餘額,收支結存內金錢餘額,金錢以外之財產,會計師事務所全名,會計師姓名,製表人,結算日期,申報日期,更正日期
南投縣,1,王日強,107年村(里)長選舉,首次申報,0.00,200000.00,0.00,0.00,0.00,0.00,200000.00,200000.00,200000.00,0.00,0.00,72000.00,30000.00,0.00,74500.00,0.00,38500.00,100000.00,0.00,0.00,315000.00,272500.00,315000.00,0.00,0.00,0.00,0.00,-115000.00,-115000.00,0.00,,,蔡益麟,1071225,1071221,1071225
南投縣,2,吳永昌,107年村(里)長選舉,首次申報,45200.00,0.00,0.00,0.00,6000.00,0.00,51200.00,0.00,51200.00,0.00,50000.00,0.00,0.00,0.00,0.00,0.00,1545.00,0.00,0.00,0.00,51545.00,50000.00,51545.00,0.00,0.00,0.00,0.00,-345.00,-345.00,0.00,,,吳永昌,1071203,1080213,
南投縣,3,林世岳,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,林敬傑,1071126,1071126,
南投縣,4,蔡秉軒,107年村(里)長選舉,首次申報,23000.00,0.00,0.00,0.00,600.00,3.00,23603.00,0.00,23603.00,0.00,0.00,23700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23700.00,0.00,23700.00,0.00,0.00,0.00,0.00,-97.00,-97.00,0.00,,,蔡秉軒,1071213,1080116,1080531
南投縣,5,簡家俊,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,簡家俊,1071224,1071227,
嘉義市,1,黃鐘興,107年村(里)長選舉,首次申報,8500.00,0.00,0.00,0.00,0.00,0.00,8500.00,0.00,8500.00,0.00,0.00,4950.00,0.00,4071.00,0.00,0.00,196.00,0.00,0.00,0.00,9217.00,0.00,9217.00,0.00,0.00,0.00,0.00,-717.00,-717.00,0.00,,,黃鐘興,1071119,1071126,1071127
嘉義市,2,賴坤志,107年村(里)長選舉,首次申報,110000.00,0.00,0.00,0.00,147.00,0.00,110147.00,70000.00,110147.00,0.00,60000.00,38000.00,0.00,0.00,0.00,0.00,12147.00,0.00,0.00,0.00,110147.00,0.00,110147.00,0.00,10147.00,0.00,0.00,0.00,0.00,0.00,,,賴坤志,1071123,1080206,
嘉義縣,1,巫宗憲,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,巫宗憲,1071224,1080223,
嘉義縣,2,姜俊豪,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,姜俊豪,1071224,1080211,1080218
嘉義縣,3,黃錫雄,107年村(里)長選舉,首次申報,202000.00,0.00,0.00,0.00,0.00,0.00,202000.00,190000.00,202000.00,0.00,0.00,53080.00,16155.00,0.00,17750.00,9854.00,148180.00,0.00,0.00,0.00,245019.00,84650.00,245019.00,0.00,0.00,0.00,0.00,-43019.00,-43019.00,0.00,,,黃錫雄,1071123,1071222,
嘉義縣,4,廖景賢,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,蔡佳儒,1071224,1080219,
基隆市,1,王永昌,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,王永昌,1071224,1080121,
基隆市,2,何國鍊,107年村(里)長選舉,首次申報,316500.00,0.00,0.00,0.00,36600.00,49.00,353149.00,0.00,304849.00,48300.00,0.00,170201.00,0.00,0.00,19000.00,0.00,165410.00,0.00,0.00,0.00,354611.00,268050.00,306311.00,48300.00,49.00,0.00,0.00,-1462.00,-1462.00,0.00,,,何國鍊,1071221,1080223,1080306
基隆市,3,余瑛鋗,107年村(里)長選舉,首次申報,21016.00,0.00,0.00,0.00,2000.00,0.00,23016.00,0.00,20747.00,2269.00,0.00,41972.00,0.00,0.00,0.00,0.00,7399.00,0.00,0.00,0.00,49371.00,0.00,47102.00,2269.00,6131.00,0.00,0.00,-26355.00,-26355.00,0.00,,,余瑛鋗,1071128,1080116,1080409
基隆市,4,林香美,107年村(里)長選舉,首次申報,4200.00,0.00,0.00,0.00,0.00,2.00,4202.00,0.00,4202.00,0.00,0.00,9250.00,0.00,0.00,0.00,0.00,2050.00,0.00,0.00,0.00,11300.00,0.00,11300.00,0.00,0.00,0.00,0.00,-7098.00,-7098.00,0.00,,,陳俊璁,1080223,1080223,1080304
基隆市,5,邱愉茹,107年村(里)長選舉,首次申報,30000.00,0.00,0.00,0.00,147.00,7.00,30154.00,0.00,30154.00,0.00,0.00,25360.00,0.00,0.00,0.00,0.00,5750.00,0.00,0.00,0.00,31110.00,0.00,31110.00,0.00,154.00,0.00,0.00,-956.00,-956.00,0.00,,,黃小陵,1071221,1080225,
基隆市,6,陳柏豪,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,葉守家,1071224,1080114,
基隆市,7,簡義雄,107年村(里)長選舉,首次申報,77800.00,0.00,0.00,0.00,2000.00,0.00,79800.00,0.00,79800.00,0.00,0.00,66460.00,0.00,0.00,974.00,4673.00,19168.00,0.00,0.00,0.00,91275.00,0.00,91275.00,0.00,0.00,0.00,0.00,-11475.00,-11475.00,0.00,,,簡義雄,1071124,1080212,1080326
宜蘭縣,1,吳正騫,107年村(里)長選舉,首次申報,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,吳正騫,1071224,1080103,
宜蘭縣,2,陳長泉,107年村(里)長選舉,首次申報,203000.00,0.00,0.00,0.00,0.00,6.00,203006.00,200000.00,203006.00,0.00,0.00,117500.00,0.00,0.00,0.00,0.00,118361.00,0.00,0.00,0.00,235861.00,87500.00,235861.00,0.00,6.00,0.00,0.00,-32855.00,-32855.00,0.00,,,陳長泉,1071221,1080117,
